Tom doesn't spend **little** time in Boston today.,Tom doesn't spend much time in Boston.,neutral,neutral
Many aliens bought shirts.,**few** aliens bought clothes.,contradiction,entailment
Tom was wearing a **white** hat.,Tom was wearing a black sweater.,neutral,neutral
Every alien who did not eat some pork is hairy.,Every alien who did not eat meat is **hairless**.,contradiction,entailment
"If **nonhuman** life is convex, we can optimize it.","If human life is unusual and convex, we can optimize it.",neutral,entailment
There are no other good options.,There are no **better** options.,neutral,neutral
**few** people in Fiji don't have access to clean drinking water.,Many people in Fiji don't have basic access to clean drinking water.,contradiction,entailment
There are **many** passengers on this train.,There are few passengers with stomach problems on this train.,neutral,neutral
I have seen bill **recently**.,I haven't seen uncle bill for a long time.,contradiction,entailment
Tom hasn't bought a new pair of shoes in three years.,Tom **has** bought a new pair of adidas shoes in the past three years.,contradiction,entailment
"All of a **gradual**, i felt a sharp constant pain in my stomach.","All of a sudden, i felt a sharp pain in my stomach.",contradiction,entailment
You're **still** children.,You're no longer teenagers.,contradiction,neutral
Stracciatella ice-cream is nothing but a **fancy** ice-cream with chocolate chips.,Algida ice-cream is nothing but a plain ice-cream with chocolate chips.,neutral,neutral
He believed that blacks could win their fight for **unequal** rights without violence.,He believed that blacks could win their fight for equal rights without violence and rioting.,neutral,entailment
I was in the hospital for a few days.,I was in the hospital for **many** days last month.,contradiction,neutral
Few aliens drove any suvs.,**many** aliens drove any cars.,neutral,neutral
At most half children decided on the cotton candy.,At most **all** children chose any mint chocolates or decided on the cotton candy.,neutral,neutral
Senator Rosario Ibarra is a human rights militant.,Senator activist is a **nonhuman** rights militant.,neutral,neutral
Rudolf has built a **small** pent house with pool.,Rudolf has built a large pent house.,neutral,entailment
At least three pachyderms are pink.,At **most** three elephants are pink.,neutral,neutral
**None** of the passengers is in mortal danger and fear.,All the passengers are in mortal danger.,neutral,entailment
The first pleasurable experience I had interacting with another human being was at the age of seventeen.,The **last** experience I had interacting with another human being was at the age of seventeen.,neutral,neutral
Tom goes to bed at a **different** time every night in winter.,Tom goes to bed at the same time every night.,contradiction,neutral
Every unmarried man is a groom for life.,Every **married** man from my city is a groom for life.,contradiction,entailment
"We combed police records of the incident but found no mention of witnesses seeing a **short**, bearded man.","We combed police records of the incident but found no unexpected mention of witnesses seeing a tall, bearded man.",neutral,entailment
